Disease,Description
Drug Reaction,"Symptoms: Skin rash, hives, itching, fever, swelling, shortness of breath, anaphylaxis

Description: An adverse drug reaction (ADR) is an unintended, harmful response to a medication administered at a standard dose. ADRs range from mild side effects such as nausea and rash to life-threatening conditions including anaphylaxis, Stevens-Johnson syndrome, and organ failure. They may result from pharmacological properties of the drug, immune-mediated hypersensitivity, genetic polymorphisms affecting drug metabolism (e.g., CYP450 variants), or dangerous interactions between two or more medications. Risk factors include polypharmacy, renal or hepatic impairment, advanced age, and prior ADR history."
Malaria,"Symptoms: Fever, chills, headache, nausea, vomiting, muscle pain, sweating

Description: Malaria is a life-threatening infectious disease caused by Plasmodium parasites (P. falciparum, P. vivax, P. ovale, P. malariae, and P. knowlesi) transmitted through the bites of infected female Anopheles mosquitoes. P. falciparum causes the most severe and fatal form. After entering the bloodstream, parasites infect and destroy red blood cells, leading to cyclic fevers, chills, anemia, and potentially cerebral malaria, multi-organ failure, or death if untreated. It is endemic in sub-Saharan Africa, South Asia, and parts of Latin America, causing over 600,000 deaths annually."
Allergy,"Symptoms: Sneezing, itchy nose/eyes, runny nose, watery eyes, skin rash, hives

Description: An allergy is an exaggerated immune system response to a normally harmless foreign substance (allergen) such as pollen, dust mites, pet dander, insect venom, certain foods (nuts, shellfish, dairy), or medications. Upon re-exposure, mast cells release histamine and other mediators, producing symptoms ranging from sneezing, nasal congestion, and urticaria to severe anaphylaxis. Allergic conditions include allergic rhinitis, asthma, eczema (atopic dermatitis), food allergies, and contact dermatitis. Genetic predisposition (atopy) and environmental factors both influence susceptibility."
Hypothyroidism,"Symptoms: Fatigue, sensitivity to cold, constipation, dry skin, weight gain, puffy face

Description: Hypothyroidism is a clinical syndrome resulting from insufficient production of thyroid hormones (T3 and T4) by the thyroid gland. The most common cause worldwide is autoimmune Hashimoto's thyroiditis; other causes include iodine deficiency, thyroid surgery, radioactive iodine therapy, and certain medications (lithium, amiodarone). Inadequate thyroid hormone slows metabolic processes throughout the body, causing fatigue, weight gain, cold intolerance, constipation, dry skin, hair loss, bradycardia, depression, and in severe cases myxedema coma. TSH elevation is the primary diagnostic marker."
Psoriasis,"Symptoms: Red patches of skin with thick silvery scales, dry/cracked skin, itching, burning

Description: Psoriasis is a chronic, immune-mediated inflammatory skin disease driven by overactivation of T-helper 17 (Th17) cells and excess IL-17, IL-23, and TNF-α, leading to accelerated keratinocyte proliferation. This produces sharply demarcated, erythematous plaques covered with silvery-white scales, most commonly on the scalp, elbows, knees, and sacral area. It affects approximately 2–3% of the global population and follows a relapsing-remitting course. Associated comorbidities include psoriatic arthritis (in ~30%), cardiovascular disease, metabolic syndrome, and depression. Triggers include stress, infections, certain medications, and skin trauma (Koebner phenomenon)."
GERD,"Symptoms: Heartburn, chest pain, difficulty swallowing, regurgitation of sour liquid, lump in throat

Description: Gastroesophageal reflux disease (GERD) is a chronic digestive disorder characterized by recurrent reflux of acidic or non-acidic stomach contents into the esophagus due to lower esophageal sphincter (LES) dysfunction, hiatal hernia, or impaired esophageal motility. Symptoms include heartburn, regurgitation, chest pain, chronic cough, laryngitis, and dysphagia. Prolonged, untreated GERD can lead to erosive esophagitis, Barrett's esophagus (a pre-malignant metaplasia), esophageal strictures, and esophageal adenocarcinoma. Obesity, pregnancy, smoking, and dietary factors significantly worsen the condition."
Chronic cholestasis,"Symptoms: Symptoms vary; consult a healthcare professional for specific diagnosis.

Description: Chronic cholestasis is a condition in which bile flow from the liver to the duodenum is persistently impaired, causing accumulation of bile acids, bilirubin, and cholesterol in the liver and bloodstream. It can be classified as intrahepatic (primary biliary cholangitis, primary sclerosing cholangitis, drug-induced, or cholestasis of pregnancy) or extrahepatic (bile duct obstruction by gallstones, strictures, or malignancy). Prolonged cholestasis causes progressive liver damage, fat-soluble vitamin deficiencies (A, D, E, K), osteoporosis, xanthomas, steatorrhea, and may progress to biliary cirrhosis and liver failure."
Hepatitis A,"Symptoms: Fatigue, sudden nausea, abdominal pain, clay-colored stools, jaundice, dark urine

Description: Hepatitis A is an acute, self-limiting liver infection caused by the hepatitis A virus (HAV), a non-enveloped RNA virus (Picornaviridae family). It is primarily transmitted via the fecal-oral route through contaminated food (shellfish, raw produce) or water, and through close contact with infected individuals. HAV infects hepatocytes, triggering immune-mediated liver inflammation. Symptoms typically include sudden onset of fever, fatigue, nausea, vomiting, abdominal pain, dark urine, jaundice, and clay-colored stools. Most patients recover fully within 2 months; rare fulminant hepatitis can occur. Effective vaccines provide long-term immunity."
Osteoarthritis,"Symptoms: Joint pain during movement, stiffness after rest, tenderness, loss of flexibility

Description: Osteoarthritis (OA) is a progressive, degenerative joint disease characterized by breakdown of articular cartilage, subchondral bone remodeling, osteophyte formation, synovial inflammation, and periarticular muscle weakness. It is the most common form of arthritis, predominantly affecting weight-bearing joints (knees, hips) and the hands. Risk factors include aging, obesity, previous joint injury, repetitive stress, and genetic predisposition. Clinically, OA presents with joint pain worsened by activity, morning stiffness lasting less than 30 minutes, crepitus, reduced range of motion, and joint deformity in advanced stages. There is currently no disease-modifying therapy; management focuses on symptom relief and functional preservation."
Osteoarthritis,"Symptoms: Joint pain during movement, stiffness after rest, tenderness, loss of flexibility

Description: Osteoarthritis (OA) is the most prevalent musculoskeletal disease globally, caused by progressive articular cartilage degradation mediated by matrix metalloproteinases, increased subchondral bone remodeling (sclerosis, cyst formation, osteophytes), low-grade synovial inflammation, and periarticular muscle weakness. Risk factors include aging, female sex, obesity, prior joint injury, joint malalignment, and genetic susceptibility. Knees, hips, hands (DIP/PIP joints, thumb base), and spine are most affected. Clinical features include activity-related joint pain relieved by rest, morning stiffness <30 minutes, crepitus, bony enlargement (Heberden's and Bouchard's nodes in fingers), and progressive loss of function. Radiographic hallmarks include joint space narrowing, subchondral sclerosis, and osteophytes. Management focuses on pain relief, exercise, weight loss, and joint replacement in severe cases."
Vertigo (Paroxysmal Positional Vertigo),"Symptoms: Dizziness, spinning sensation, loss of balance, nausea, vomiting

Description: Benign Paroxysmal Positional Vertigo (BPPV) is the most common vestibular disorder, caused by displacement of calcium carbonate crystals (otoconia/otoliths) from the utricle into one of the semicircular canals—most often the posterior canal. This causes abnormal endolymph movement and inappropriate cupular deflection, generating brief but intense episodes of spinning vertigo, nausea, and nystagmus triggered by specific head position changes (lying down, rolling over, looking up). Episodes typically last less than 60 seconds. Diagnosis is confirmed by the Dix-Hallpike maneuver. It is effectively treated with canalith repositioning procedures (Epley maneuver) in most cases."
Hypoglycemia,"Symptoms: Shakiness, dizziness, sweating, hunger, fast heartbeat, confusion, irritability

Description: Hypoglycemia is defined as an abnormally low blood glucose concentration (typically <70 mg/dL or <3.9 mmol/L), with severe hypoglycemia occurring below 54 mg/dL. It most commonly arises in people with diabetes using insulin or sulfonylureas, but can also result from prolonged fasting, excessive alcohol consumption, insulinoma, adrenal insufficiency, critical illness, or certain medications. Symptoms occur in two phases: adrenergic (tremor, sweating, palpitations, anxiety) and neuroglycopenic (confusion, blurred vision, seizures, coma). Prompt glucose administration is essential; severe untreated hypoglycemia causes permanent brain damage."
